# time Ni NiV
1.449999999999999904e-10 2.361285560104006143e-01 5.652654929125912701e-08
1.460000000000000128e-10 2.383239823015909087e-01 1.132206622651762207e-08
1.469000000000000045e-10 2.451058241610424016e-01 3.549513066604561378e-08
1.480000000000000059e-10 2.383239819953025529e-01 1.132053045877969102e-08
1.481999999999999897e-10 2.361345090410048309e-01 4.839238545877972027e-08
1.482999999999999945e-10 2.334358400833658198e-01 2.755117494876572247e-08
1.483999999999999994e-10 2.361354162523330580e-01 4.594284466697718803e-08
1.487999999999999928e-10 2.360583180367845924e-01 2.270774029498522632e-08
1.491000000000000073e-10 2.383596043196763159e-01 7.179320865393569315e-08
1.492000000000000121e-10 2.407664326334565952e-01 7.802876872302434156e-08
1.518000000000000083e-10 2.428438922130564948e-01 3.056494628240957793e-08
1.525999999999999952e-10 2.410121128975849236e-01 8.887528522046269970e-08
1.525999999999999952e-10 2.475206746163245708e-01 4.473167915929204996e-08
1.549000000000000028e-10 2.457496760219498866e-01 6.194261827355997569e-08
1.561000000000000090e-10 2.480679801333946777e-01 9.076733508150909940e-08
1.567999999999999910e-10 2.503831983384775528e-01 2.941412399394504556e-08
1.572999999999999893e-10 2.524294452422664037e-01 7.299214187936656854e-08
1.582000000000000069e-10 2.503830537678086721e-01 2.687514944961964873e-08
1.586000000000000003e-10 2.480525580971869315e-01 5.371216940537181930e-08
1.616999999999999948e-10 2.501018786479407563e-01 8.119255087796927717e-08
1.622999999999999979e-10 2.524083711763718263e-01 9.464828748952029552e-08
1.624000000000000027e-10 2.456567222877957257e-01 1.022344671611551526e-07
1.632999999999999944e-10 2.479923019962426700e-01 3.982069196786213146e-08
1.636000000000000089e-10 2.544989652287641957e-01 6.614417969647574002e-08
1.643999999999999958e-10 2.479923082388161837e-01 3.982000803369043550e-08
1.654999999999999972e-10 2.504040344017250397e-01 5.642607967784508473e-08
1.673000000000000065e-10 2.505206554235795413e-01 2.193934274569165428e-08
1.688000000000000013e-10 2.527123975901241493e-01 2.784202731252907895e-08
1.722999999999999892e-10 2.550625640563216612e-01 5.504305912125448782e-08
1.749999999999999902e-10 2.575274657102866738e-01 5.750646740024841789e-08
1.756999999999999981e-10 2.645527313742965791e-01 6.164543359493869989e-08
1.792999999999999909e-10 2.678121040764454008e-01 2.226690676797082044e-07
1.804999999999999971e-10 2.740170295123943722e-01 5.390578453656257972e-09
1.808999999999999905e-10 2.678132227401109899e-01 2.167313641701598736e-07
1.820999999999999967e-10 2.697514706093179782e-01 8.018424663872069612e-08
1.830999999999999933e-10 2.720858521643615413e-01 1.454560600294985195e-08
1.831999999999999981e-10 2.745631136475110701e-01 2.638723570330693640e-08
1.839000000000000060e-10 2.769582569875559397e-01 3.997899624980595317e-08
1.840000000000000108e-10 2.835495250249697174e-01 2.201509611551001513e-08
1.844000000000000043e-10 2.769560879583174984e-01 3.848930240024841742e-08
1.861999999999999877e-10 2.744738724393384066e-01 4.471631464136002909e-08
1.894999999999999918e-10 2.769572178173235755e-01 3.764836451560316687e-08
1.897000000000000015e-10 2.745583841809626779e-01 1.795836829995342743e-08
1.898000000000000063e-10 2.749636610423895622e-01 7.196912591212549456e-09
1.915000000000000108e-10 2.769750928196226814e-01 5.178907288697408230e-08
1.916999999999999946e-10 2.768110002117001867e-01 1.885057928893028631e-08
1.919000000000000042e-10 2.834862047728692880e-01 5.176799167598200002e-08
1.920000000000000091e-10 2.909443146087100085e-01 8.342152922838065248e-08
1.920999999999999880e-10 2.834862053137089388e-01 5.176658018320137602e-08
1.935000000000000039e-10 2.909426609028853417e-01 8.060608893727683227e-08
1.942000000000000118e-10 2.884595746425181462e-01 9.322245661543234062e-08
1.952000000000000084e-10 2.907004916009467976e-01 4.190864633830149945e-08
1.980999999999999932e-10 2.932224026064834121e-01 8.711476045645086076e-08
1.985999999999999914e-10 2.955201876361510660e-01 3.841119657817107962e-08
2.055999999999999931e-10 2.932224055352354863e-01 8.711439838534387131e-08
2.060000000000000124e-10 2.961362612151074991e-01 9.846160740568234278e-08
2.066999999999999945e-10 2.932201464471632102e-01 8.438088629482999031e-08
2.066999999999999945e-10 2.955203900146282092e-01 3.557706716969414363e-08
2.067999999999999993e-10 2.882577569200102108e-01 4.553306800574444840e-08
2.074000000000000024e-10 2.863828117730843337e-01 5.683326309889767224e-08
2.092999999999999907e-10 2.888797351974344285e-01 9.866391070718834403e-08
2.113000000000000096e-10 2.911882373671995650e-01 5.656986882161155019e-08
2.125999999999999948e-10 2.888758904175260933e-01 9.286355717435179081e-08
2.130999999999999931e-10 2.909088367550100029e-01 9.435221166899553662e-08
2.135999999999999913e-10 2.933222766179775509e-01 8.683392221161311971e-08
2.145000000000000089e-10 2.959523912886370400e-01 4.677585173730787269e-08
2.149000000000000024e-10 2.933222869155536761e-01 8.682919696320448123e-08
2.152999999999999958e-10 2.954991694321492113e-01 8.417771759121253982e-08
2.171000000000000051e-10 2.989109302000349522e-01 2.748870512963824446e-08
2.172999999999999889e-10 2.954991699239848946e-01 8.417268030430054284e-08
2.181000000000000017e-10 2.932684865365990934e-01 8.229345775267808055e-08
2.185999999999999999e-10 3.002070210328831035e-01 9.648241630880304335e-08
2.193000000000000078e-10 3.028134530318568607e-01 3.999720331392637081e-08
2.211999999999999961e-10 3.055100862536766493e-01 6.496038897686693689e-08
2.221999999999999927e-10 3.031752487640175242e-01 8.836182477332720161e-08
2.230000000000000054e-10 3.055104731269314700e-01 6.399707597345129909e-08
2.230000000000000054e-10 3.162202017351621319e-01 3.286283345132742822e-08
2.242999999999999906e-10 3.153078676827831273e-01 3.866704535087718714e-08
2.247999999999999889e-10 3.147577071804483761e-01 2.589100657428970668e-08
2.252999999999999871e-10 3.122748218542618637e-01 3.095526742120790253e-08
2.252999999999999871e-10 3.101932575940667958e-01 5.436828941779227493e-08
2.260999999999999999e-10 3.076488697898736024e-01 6.495128571417482222e-08
2.273000000000000061e-10 3.098621044314036066e-01 6.415448278916314814e-08
2.292999999999999992e-10 3.100436489355381520e-01 1.695657426176060084e-08
2.305000000000000054e-10 3.125331936998361759e-01 1.976204862288463074e-08
2.326000000000000033e-10 3.100436415627699227e-01 1.695540252134761872e-08
2.335000000000000209e-10 3.125325799736926036e-01 1.915934816721006572e-08
2.336999999999999788e-10 3.152472056355840602e-01 2.786551745458780710e-08
2.341999999999999771e-10 3.175808011012947185e-01 2.379333202996431659e-08
2.343000000000000077e-10 3.282130273126541153e-01 3.994187183977641913e-08
2.346999999999999753e-10 3.271150780202052855e-01 1.805837685530197013e-08
2.357000000000000236e-10 3.267746200489348163e-01 2.309959789628934892e-09
2.360000000000000122e-10 3.240008881530345164e-01 1.002200418879056949e-08
2.363000000000000008e-10 3.261451591615874279e-01 1.749817878357397942e-08
2.363999999999999798e-10 3.289377582620132690e-01 2.257444672566371787e-08
2.365000000000000105e-10 3.261451606878573717e-01 1.749757151374009166e-08
2.365999999999999895e-10 3.233224956709775388e-01 1.891171749184909309e-08
2.385999999999999826e-10 3.223061160340197628e-01 7.838536780779376015e-09
2.389000000000000229e-10 3.238448456331139980e-01 1.652101340164569615e-08
2.409000000000000160e-10 3.264526732595722791e-01 1.301182305930755039e-08
2.412000000000000046e-10 3.238447868430278653e-01 1.614591358562334622e-08
2.419999999999999915e-10 3.223234627532225449e-01 1.249531266884023617e-08
2.426000000000000204e-10 3.233291113465330824e-01 1.773318031128706171e-08
2.426000000000000204e-10 3.261331248962660578e-01 1.308393603167211304e-08
2.431000000000000187e-10 3.233291115386313086e-01 1.773203984862597676e-08
2.439999999999999846e-10 3.223042803295446679e-01 9.846058842571027081e-09
2.454000000000000004e-10 3.248881790768322064e-01 1.729230887439838397e-08
