# n msd err_msd cf err_cf var err_var
1.250000000000000000e+02 6.811043444082821452e+02 1.756263729354671810e+01 8.925339535197632790e-01 3.056796143722770743e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.260000000000000000e+02 6.853747230522294558e+02 1.769629925528536774e+01 8.910019351357445494e-01 3.082162090988303533e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.270000000000000000e+02 6.895442930478751578e+02 1.782774328206871672e+01 8.893640215232285762e-01 3.107175284021092016e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.280000000000000000e+02 6.939701712612281881e+02 1.796620670904938422e+01 8.880797001797230417e-01 3.133446133729943586e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.290000000000000000e+02 6.984766409109738561e+02 1.810716341305622379e+01 8.869176248763223080e-01 3.160187358383497857e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.300000000000000000e+02 7.031249940847138760e+02 1.825221541230809663e+01 8.859522038633406149e-01 3.187679779717483407e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.310000000000000000e+02 7.075194653253643082e+02 1.839109276573208618e+01 8.846840675132399134e-01 3.214130177616461408e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.320000000000000000e+02 7.118219609228906393e+02 1.852798557204202723e+01 8.833210100433399603e-01 3.240269271511770580e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.330000000000000000e+02 7.159170351409341038e+02 1.865987763698625912e+01 8.817229896321081561e-01 3.265568646556547393e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.340000000000000000e+02 7.201844828302621409e+02 1.879666199766390378e+01 8.803595310437691834e-01 3.291759166085204188e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.350000000000000000e+02 7.245988250461086864e+02 1.893769366360607265e+01 8.791945068270413666e-01 3.318729705118567998e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.360000000000000000e+02 7.289884254512766120e+02 1.907849905862853745e+01 8.780168154966929706e-01 3.345697434987388030e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.370000000000000000e+02 7.333159758828987833e+02 1.921810045109946685e+01 8.767821272920417464e-01 3.372490847907064562e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.380000000000000000e+02 7.377824325754054371e+02 1.936176754776305842e+01 8.757302115494305372e-01 3.400035050958915075e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.390000000000000000e+02 7.423960512895804413e+02 1.950973508536387868e+01 8.748668524320649675e-01 3.428372917813465696e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.400000000000000000e+02 7.470344003486026168e+02 1.965880000917375270e+01 8.740447620003153339e-01 3.456942915273419296e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.410000000000000000e+02 7.515105794867748727e+02 1.980404264076017640e+01 8.730459361553226660e-01 3.484879894473957331e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.420000000000000000e+02 7.560727566477653454e+02 1.995199694253913947e+01 8.721603804634197044e-01 3.513333187634252747e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.430000000000000000e+02 7.607491662624232731e+02 2.010342139175095966e+01 8.714180604218809689e-01 3.542437594118925340e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.440000000000000000e+02 7.651086789078531183e+02 2.024692269283152157e+01 8.703255740926809647e-01 3.570185536927019797e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.450000000000000000e+02 7.694845600769305065e+02 2.039130005947932389e+01 8.692666476348850368e-01 3.598126944480748487e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.460000000000000000e+02 7.736620567317794439e+02 2.053085925402942280e+01 8.679996522037138895e-01 3.625256834355634374e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.470000000000000000e+02 7.780849279897037150e+02 2.067737367017398853e+01 8.670233167606714586e-01 3.653653942057915379e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.480000000000000000e+02 7.823448825260736612e+02 2.082000827296562306e+01 8.658798628633636030e-01 3.681405126952159729e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.490000000000000000e+02 7.864994311645590415e+02 2.096028026719551463e+01 8.646358796708972783e-01 3.708777589280291137e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.500000000000000000e+02 7.908192608515951179e+02 2.110540470561159410e+01 8.635889728230656814e-01 3.737048165582253396e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.510000000000000000e+02 7.951916026883177437e+02 2.125238952928109626e+01 8.626128967477189047e-01 3.765688653487862022e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.520000000000000000e+02 7.997853350153100109e+02 2.140576372629536905e+01 8.618882451238847331e-01 3.795502956627239306e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.530000000000000000e+02 8.044164792874328214e+02 2.156062476685359997e+01 8.612131195237043846e-01 3.825623731506543491e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.540000000000000000e+02 8.088596144704920334e+02 2.171092959594966487e+01 8.603467851640090869e-01 3.854978708089464023e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.550000000000000000e+02 8.135752199924780825e+02 2.186903739687796744e+01 8.597795737162091667e-01 3.885762394362314576e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.560000000000000000e+02 8.183594740620128505e+02 2.202949651064132297e+01 8.592917163819048243e-01 3.917008531101696077e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.570000000000000000e+02 8.227760487500042927e+02 2.218055576552010066e+01 8.584264630724345313e-01 3.946627274933145121e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.580000000000000000e+02 8.270838286739568730e+02 2.232916453137186252e+01 8.574593719677243708e-01 3.975852681402044370e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.590000000000000000e+02 8.312993043545806131e+02 2.247575908956905977e+01 8.564093531654569658e-01 4.004761754250392956e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.600000000000000000e+02 8.356466116558783597e+02 2.262640056700870517e+01 8.555074244609865985e-01 4.034434659981937094e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.610000000000000000e+02 8.399560479633040586e+02 2.277650625402858253e+01 8.545781695801507594e-01 4.064055403420813693e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.620000000000000000e+02 8.441931383507212558e+02 2.292513876389807592e+01 8.535872360035515749e-01 4.093456593748960246e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.630000000000000000e+02 8.484705569888890295e+02 2.307535709553732417e+01 8.526489879749115097e-01 4.123184456682623365e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.640000000000000000e+02 8.528640848685416813e+02 2.322923352698551369e+01 8.518381515659353420e-01 4.153610325653730832e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.650000000000000000e+02 8.573720256925291778e+02 2.338673932424784496e+01 8.511507262133137797e-01 4.184730639274946568e-03 6.104904730826696380e+00 1.365098197428854798e-01
