step time ezz temp pe pxx pyy szz vol
1680 8.4 0 631.628320232528 -5816.57361977025 5338.67993050623 7296.76259866928 -0.606033008057819 15730.852871762
1690 8.45 0 636.269695714725 -5817.09278720973 4740.77974186085 6096.29174016904 -0.495336975313107 15736.3710245049
1700 8.5 0 643.060395512968 -5817.98618723317 4523.07645247056 5061.82219396918 -0.398445900429039 15741.9188878594
1710 8.55 0 640.954142144719 -5817.3011232363 4931.22496861708 4842.77701290077 -0.382063071393046 15747.4853994169
1720 8.6 0 628.627376085019 -5814.80881079509 5226.83229027226 5240.31847601276 -0.42594652687234 15753.0700133965
1730 8.65 0 620.431405049147 -5813.05631008468 4970.69854932291 5416.44247944114 -0.474733449216121 15758.6777148571
1740 8.7 0 623.877500018736 -5813.36834047581 4278.75063460399 4669.15431758195 -0.453823708235481 15764.3098374552
1750 8.75 0 634.882112872073 -5815.01170559289 3186.51856139504 3383.38287538739 -0.338918482444388 15769.9576491451
1760 8.8 0 643.247796667187 -5816.17830498957 2299.39145133637 2136.76895129646 -0.18898912747241 15775.6034129925
1770 8.85 0 641.328409326913 -5815.51697481848 2349.43393599625 1304.00070901597 -0.0743183239510051 15781.2290159363
1780 8.9 0 631.861402006242 -5813.52030972664 2864.5594518986 956.493392591634 -0.0372930865649314 15786.8245851742
1790 8.95 0 624.433932718297 -5811.88984824676 2899.57976762608 686.882976477712 -0.043090580037045 15792.3885796364
1800 9 0 625.799463967399 -5811.81855770028 1744.88347837402 34.5234637074373 0.00125871405598594 15797.9194001688
1810 9.05 0 634.173875496782 -5812.98181077639 -331.914662285002 -1059.6513581936 0.145285243904375 15803.4053683633
1820 9.1 0 641.076639859173 -5813.87445714407 -2145.63291084807 -2084.50394041523 0.303226789363504 15808.823940813
1830 9.15 0 642.817932285156 -5813.84536938063 -3165.0539983792 -2846.44633323407 0.373764512146235 15814.1533202405
1840 9.2 0 641.903209717556 -5813.34548913282 -3588.73231053216 -3143.38743032518 0.371567579710772 15819.3811534344
1850 9.25 0 642.401411745522 -5813.09873771347 -3748.1273406966 -3186.15775802003 0.354131861355847 15824.5042621243
1860 9.3 0 645.606789342182 -5813.33092572994 -3850.76234653921 -3790.94307698857 0.368929953818328 15829.5228185169
1870 9.35 0 652.969420136022 -5814.29768803616 -4134.60406060661 -5219.41956657208 0.44558655825045 15834.4329170138
1880 9.4 0 659.062557906353 -5815.03600155835 -4616.91554880146 -6721.38024595119 0.542633131616984 15839.2230372658
1890 9.45 0 654.214430269565 -5813.83090805288 -4677.08698526052 -7187.67059435332 0.568603731882031 15843.880029297
1900 9.5 0 643.013110921539 -5811.50702928166 -4346.86217860162 -6694.93492989841 0.569223821714817 15848.4007727644
1910 9.55 0 641.357665657387 -5810.87906856223 -4885.27942851058 -6513.84185163644 0.684539772588722 15852.788959016
1920 9.6 0 650.314740842964 -5812.12956277153 -6576.93148374275 -6972.35000627508 0.868179575486589 15857.037808389
1930 9.65 0 654.961865680762 -5812.60920920077 -8103.30019296674 -7527.70035378861 0.974383951003538 15861.1291826062
1940 9.7 0 652.669591024287 -5811.85638023527 -8646.81006407069 -7622.3306340951 0.989709078166934 15865.0487169586
1950 9.75 0 648.710900024285 -5810.81406697757 -8909.23269808109 -7592.25123994059 1.0054684026446 15868.7928464699
1960 9.8 0 644.946350393141 -5809.8093031485 -9296.09469365711 -7783.41968381446 1.01590702721869 15872.3609581386
1970 9.85 0 642.704272905444 -5809.07472526136 -9671.99677997739 -8036.31404819933 0.987563957640199 15875.7514818557
1980 9.9 0 644.104995578848 -5808.9872325722 -9996.15904873133 -8306.83204292754 0.99116587153628 15878.9639420679
1990 9.95 0 648.543498743336 -5809.43619587386 -10326.1823756242 -8706.29759438281 1.06505435220231 15881.9964090129
2000 10 0 651.680903323656 -5809.65346710781 -10534.425009567 -8944.96380578922 1.14312371876988 15884.8433416601
2010 10.05 0 653.314946796107 -5809.60165438082 -10502.6139535644 -9135.30017439011 1.19015946398855 15887.5002149804
2020 10.1 0 658.089937271233 -5810.10735576873 -10833.195598565 -9864.06788999475 1.23146516943736 15889.9646882477
2030 10.15 0 662.308036649243 -5810.51477873529 -11268.138632379 -10751.8177359473 1.22766544935529 15892.2312485515
2040 10.2 0 658.995260188211 -5809.58810516367 -10910.224110543 -10941.7131995302 1.11761152443496 15894.2961859114
2050 10.25 0 652.902568902899 -5808.1728906463 -10167.7750888073 -11063.580318576 0.971272995708013 15896.1672855322
2060 10.3 0 652.77235381486 -5807.81983019491 -10098.8946925242 -11615.2802189623 0.919670527219283 15897.8559978071
2070 10.35 0 658.223456565859 -5808.45964395354 -10605.6793456662 -12073.4148826022 0.96311469674084 15899.3645888937
2080 10.4 0 659.47515794405 -5808.35199116362 -10936.0889271101 -11647.3460644214 1.01224848338745 15900.688493019
2090 10.45 0 652.099134753208 -5806.7181925333 -10850.8738500166 -10514.4646951145 1.02141427891341 15901.8275797273
2100 10.5 0 647.970307915268 -5805.66104333822 -10958.6138359099 -9793.16390976693 1.06484151187981 15902.7883157373
2110 10.55 0 657.835398344963 -5807.08731452941 -11418.9772339848 -9973.25039412579 1.17687754794051 15903.5727394929
2120 10.6 0 671.064691533216 -5809.10503587497 -11504.9057001318 -10544.1415227114 1.24574135856359 15904.174291807
2130 10.65 0 675.58445922315 -5809.57465395728 -10962.8172146509 -10857.3971414206 1.20265848964319 15904.5882089873
2140 10.7 0 667.930339579555 -5807.89264692932 -10183.4300432913 -10708.3395463284 1.14257223074357 15904.8190588266
2150 10.75 0 652.232587965347 -5804.78985673787 -9540.66750827862 -9943.04828705578 1.11723257268555 15904.8763645983
2160 10.8 0 641.987368711489 -5802.66104267135 -9450.04813051021 -9300.55662334337 1.11504570587126 15904.7700240597
2170 10.85 0 648.222632854566 -5803.45616663261 -9943.5924830253 -10089.2287381421 1.15313751811984 15904.5047164213
2180 10.9 0 665.343513270726 -5806.17583716288 -10397.0764562413 -11498.1890684778 1.20035637558775 15904.0738393473
2190 10.95 0 677.763988106194 -5808.05636813001 -10385.5461100195 -11782.4132802147 1.19396429769841 15903.4677572968
2200 11 0 678.694665610002 -5807.89741094198 -9804.32950830064 -10756.4994623832 1.13045917900344 15902.6870583107
2210 11.05 0 671.73533258823 -5806.34545576013 -9090.84425351234 -9431.06622903275 1.06445772872704 15901.7442069766
2220 11.1 0 666.967917523991 -5805.18628946173 -8974.23753996691 -8750.24964324335 1.04875087788469 15900.6539591333
2230 11.15 0 670.234346931181 -5805.45717621471 -9598.10458239923 -8775.20992730921 1.05720278118369 15899.4226517374
2240 11.2 0 673.427821825343 -5805.71224562756 -9885.82870430264 -8838.40037459384 1.01994632380773 15898.0487980101
2250 11.25 0 672.238700631804 -5805.19024752714 -9191.11676986618 -8361.11634289256 0.948962462650184 15896.5342042647
2260 11.3 0 671.302879168263 -5804.71491914242 -8124.15166759281 -7532.54397821866 0.923145227952737 15894.8892969832
2270 11.35 0 672.050870372375 -5804.53730380796 -7549.56931467533 -7175.2101208324 0.955108185995638 15893.1257474313
2280 11.4 0 675.425624128199 -5804.82671882494 -7444.96077022604 -7644.34299173263 1.00629455891495 15891.2477846687
2290 11.45 0 682.652925114252 -5805.79722347943 -7045.38718675889 -8093.43036779459 1.05373781394078 15889.2526064216
2300 11.5 0 691.027641219691 -5806.96958749908 -6250.4563470724 -8175.03132216738 1.04781330712285 15887.1388510116
2310 11.55 0 694.731497554799 -5807.31413903935 -6255.4550752315 -8337.93630708393 0.965372980315388 15884.9108491971
2320 11.6 0 689.950504172505 -5806.15768378162 -6891.45593506098 -8126.84820078567 0.822010910981408 15882.5732882696
2330 11.65 0 677.919437306756 -5803.71803574111 -6534.37483784311 -6872.94635776153 0.667970118198924 15880.1333694604
2340 11.7 0 669.332275411885 -5801.89260133146 -5507.13651955029 -5659.91692256912 0.584754159248057 15877.6075163524
2350 11.75 0 672.909643566111 -5802.22429651303 -5129.89829466281 -5826.15490835485 0.575317578951056 15875.0113515265
2360 11.8 0 681.207518300411 -5803.38907598222 -5367.93473120572 -6376.13541897103 0.564676699905635 15872.3479203412
2370 11.85 0 685.612042553972 -5803.86068166437 -5699.06005966365 -5841.73776570578 0.53763357389896 15869.6151714077
2380 11.9 0 689.491146088274 -5804.23810541681 -5856.68127648142 -4761.80189276672 0.53747021208657 15866.815770419
2390 11.95 0 693.239464460916 -5804.59200566061 -5682.37309337256 -3991.06848113847 0.535377043394352 15863.9549298983
